chr,pos,varID
3,709,SNP691
3,281,SNP626
4,72,SNP408
4,979,SNP753
4,867,SNP827
4,256,SNP490
4,730,SNP26
4,729,SNP782
4,962,SNP205
4,8,SNP417
4,856,SNP174
4,456,SNP717
4,196,SNP820
4,667,SNP282
4,402,SNP378
4,18,SNP499
4,569,SNP962
4,750,SNP6
4,42,SNP188
4,319,SNP642
4,770,SNP92
4,829,SNP602
4,792,SNP413
4,957,SNP87
4,136,SNP249
4,916,SNP454
4,943,SNP71
4,938,SNP969
4,241,SNP325
4,646,SNP427
4,172,SNP474
4,868,SNP993
4,354,SNP756
4,464,SNP785
4,42,SNP75
4,959,SNP766
4,782,SNP37
4,644,SNP475
5,360,SNP346
5,670,SNP338
5,895,SNP317
5,971,SNP964
5,380,SNP629
5,253,SNP230
5,831,SNP615
5,407,SNP855
5,457,SNP303
5,404,SNP868
5,72,SNP762
5,732,SNP219
5,408,SNP299
5,222,SNP755
5,22,SNP284
5,877,SNP986
5,416,SNP864
5,807,SNP743
5,911,SNP679
5,441,SNP99
5,578,SNP641
5,70,SNP737
5,973,SNP796
5,591,SNP795
5,956,SNP131
5,305,SNP534
5,173,SNP470
5,165,SNP43
5,808,SNP484
5,664,SNP35
5,273,SNP32
5,460,SNP492
5,873,SNP56
5,250,SNP407
5,658,SNP441
5,327,SNP659
5,472,SNP891
5,384,SNP377
5,535,SNP883
5,105,SNP651
6,700,SNP156
6,854,SNP444
6,605,SNP919
6,822,SNP580
6,638,SNP251
6,658,SNP172
6,356,SNP692
6,511,SNP694
6,178,SNP175
6,787,SNP970
6,979,SNP597
6,694,SNP532
6,362,SNP687
6,410,SNP468
6,397,SNP879
6,459,SNP50
6,17,SNP270
6,582,SNP41
6,851,SNP273
6,222,SNP776
6,464,SNP25
6,733,SNP856
6,193,SNP14
6,255,SNP778
6,32,SNP794
6,111,SNP683
6,387,SNP920
6,453,SNP286
6,516,SNP140
6,813,SNP353
6,326,SNP138
6,772,SNP137
6,600,SNP902
6,109,SNP571
6,191,SNP167
6,529,SNP807
6,4,SNP562
6,145,SNP833
6,163,SNP394
6,87,SNP420
6,993,SNP110
6,434,SNP799
6,85,SNP575
6,751,SNP169
6,627,SNP916
6,787,SNP572
6,712,SNP870
6,890,SNP812
7,632,SNP606
7,886,SNP823
7,635,SNP522
7,883,SNP769
7,808,SNP391
7,922,SNP821
7,834,SNP497
7,967,SNP540
7,247,SNP288
7,590,SNP347
7,529,SNP443
7,153,SNP464
7,536,SNP561
7,534,SNP455
7,932,SNP593
7,673,SNP451
7,257,SNP321
7,37,SNP725
7,600,SNP335
7,330,SNP585
7,942,SNP409
7,180,SNP513
7,565,SNP897
7,637,SNP252
7,273,SNP893
7,720,SNP939
7,886,SNP220
7,980,SNP143
7,210,SNP667
7,258,SNP881
7,306,SNP39
7,376,SNP876
7,28,SNP214
7,168,SNP616
7,538,SNP706
7,314,SNP178
7,665,SNP12
7,741,SNP983
7,622,SNP54
7,261,SNP267
7,123,SNP238
7,276,SNP688
7,588,SNP922
7,440,SNP100
7,815,SNP914
7,422,SNP103
8,293,SNP959
8,673,SNP208
8,568,SNP932
8,461,SNP636
8,618,SNP643
8,207,SNP990
8,408,SNP184
8,480,SNP351
8,932,SNP648
8,883,SNP832
8,667,SNP587
8,776,SNP590
8,850,SNP568
8,98,SNP155
8,842,SNP701
8,868,SNP59
8,350,SNP449
8,257,SNP93
8,717,SNP433
8,20,SNP109
8,336,SNP801
8,241,SNP421
8,42,SNP673
8,748,SNP121
8,396,SNP134
8,684,SNP403
8,345,SNP567
8,338,SNP896
8,754,SNP393
8,304,SNP887
8,182,SNP344
8,157,SNP469
8,557,SNP342
8,118,SNP982
8,221,SNP331
8,918,SNP603
8,398,SNP857
8,39,SNP842
8,545,SNP327
8,120,SNP604
8,278,SNP503
8,305,SNP305
8,159,SNP320
8,548,SNP849
8,63,SNP619
8,521,SNP844
8,412,SNP512
8,847,SNP304
8,691,SNP628
8,215,SNP837
8,168,SNP835
8,145,SNP511
8,281,SNP233
8,22,SNP236
8,588,SNP841
8,481,SNP779
9,532,SNP88
9,34,SNP934
9,564,SNP36
9,755,SNP281
9,42,SNP8
9,323,SNP784
9,646,SNP693
9,280,SNP700
9,327,SNP775
9,390,SNP128
9,856,SNP125
9,729,SNP671
9,209,SNP672
9,750,SNP781
9,59,SNP482
9,933,SNP537
9,547,SNP788
9,20,SNP277
9,563,SNP699
9,141,SNP302
9,549,SNP727
9,381,SNP478
9,476,SNP536
9,122,SNP551
9,230,SNP509
9,299,SNP510
9,850,SNP997
9,919,SNP97
9,247,SNP70
9,213,SNP682
9,129,SNP995
9,570,SNP106
9,993,SNP563
9,12,SNP711
9,150,SNP886
9,857,SNP196
9,145,SNP594
9,744,SNP162
9,310,SNP741
9,724,SNP207
9,761,SNP362
9,419,SNP242
9,518,SNP632
9,139,SNP326
9,757,SNP223
9,69,SNP240
9,323,SNP349
9,560,SNP834
9,31,SNP663
9,429,SNP27
10,851,SNP947
10,824,SNP372
10,636,SNP984
10,772,SNP275
10,825,SNP194
10,767,SNP721
10,339,SNP329
10,161,SNP53
10,889,SNP539
10,429,SNP78
10,693,SNP278
10,574,SNP712
10,275,SNP10
10,713,SNP633
10,234,SNP698
10,110,SNP367
10,995,SNP874
10,878,SNP811
10,121,SNP434
10,11,SNP487
10,576,SNP707
10,772,SNP894
10,839,SNP862
10,415,SNP760
10,682,SNP668
10,265,SNP669
10,830,SNP388
10,514,SNP24
10,209,SNP157
10,33,SNP609
10,887,SNP309
10,104,SNP998
10,293,SNP45
10,475,SNP419
10,272,SNP324
10,509,SNP431
10,262,SNP322
10,368,SNP113
10,386,SNP42
10,672,SNP676
10,184,SNP906
10,323,SNP860
10,336,SNP578
11,105,SNP51
11,185,SNP23
11,21,SNP4
11,865,SNP471
11,85,SNP7
11,513,SNP496
11,837,SNP515
11,474,SNP973
11,140,SNP526
11,318,SNP610
11,728,SNP792
11,138,SNP528
11,951,SNP186
11,935,SNP357
11,205,SNP828
11,438,SNP355
11,645,SNP871
11,610,SNP232
11,437,SNP336
11,104,SNP624
11,36,SNP764
11,574,SNP865
11,20,SNP258
11,730,SNP598
11,477,SNP272
11,701,SNP274
11,580,SNP961
11,869,SNP979
11,430,SNP363
11,312,SNP570
11,245,SNP62
11,417,SNP458
11,926,SNP67
11,610,SNP925
11,47,SNP448
11,343,SNP798
11,435,SNP392
11,532,SNP554
11,962,SNP739
11,496,SNP772
11,803,SNP122
11,766,SNP901
11,967,SNP146
11,117,SNP147
11,898,SNP675
12,285,SNP559
12,541,SNP581
12,574,SNP695
12,69,SNP649
12,314,SNP617
12,118,SNP611
12,557,SNP761
12,873,SNP742
12,264,SNP1
12,990,SNP74
12,207,SNP867
12,998,SNP364
12,384,SNP126
12,427,SNP365
12,330,SNP112
12,757,SNP804
12,760,SNP340
12,133,SNP323
12,376,SNP181
12,846,SNP859
12,749,SNP459
12,721,SNP463
12,915,SNP826
12,93,SNP432
12,3,SNP501
12,284,SNP373
12,230,SNP268
12,387,SNP878
12,40,SNP298
12,750,SNP466
12,569,SNP285
13,213,SNP193
13,709,SNP818
13,496,SNP657
13,752,SNP817
13,567,SNP803
13,190,SNP882
13,428,SNP650
13,961,SNP197
13,354,SNP183
13,244,SNP187
13,387,SNP639
13,397,SNP662
13,997,SNP190
13,491,SNP814
13,467,SNP406
13,886,SNP254
13,591,SNP348
13,789,SNP152
13,582,SNP724
13,703,SNP9
13,27,SNP728
13,493,SNP20
13,999,SNP47
13,217,SNP950
13,898,SNP612
13,63,SNP530
13,45,SNP553
13,401,SNP79
13,147,SNP69
13,303,SNP262
13,975,SNP543
13,236,SNP123
13,336,SNP819
13,745,SNP757
13,835,SNP145
13,636,SNP360
13,796,SNP446
13,802,SNP985
14,974,SNP266
14,527,SNP250
14,320,SNP613
14,455,SNP243
14,865,SNP758
14,361,SNP237
14,907,SNP287
14,26,SNP176
14,362,SNP750
14,556,SNP949
14,435,SNP944
14,80,SNP940
14,98,SNP63
14,233,SNP697
14,413,SNP66
14,762,SNP76
14,538,SNP918
14,115,SNP684
14,880,SNP91
14,928,SNP915
14,676,SNP955
14,24,SNP114
14,866,SNP127
14,238,SNP139
14,578,SNP149
14,94,SNP660
14,753,SNP655
14,908,SNP608
14,772,SNP989
14,997,SNP195
14,13,SNP211
14,447,SNP290
14,752,SNP726
14,714,SNP426
14,250,SNP816
14,278,SNP535
14,122,SNP552
14,499,SNP789
14,662,SNP542
14,618,SNP583
14,581,SNP584
14,674,SNP564
14,330,SNP588
14,134,SNP359
14,320,SNP291
14,330,SNP445
14,95,SNP307
14,969,SNP294
14,410,SNP839
14,434,SNP311
14,940,SNP308
14,556,SNP301
14,44,SNP422
14,986,SNP518
15,991,SNP797
15,163,SNP437
15,745,SNP541
15,991,SNP104
15,64,SNP903
15,189,SNP550
15,687,SNP544
15,318,SNP90
15,172,SNP549
15,497,SNP547
15,848,SNP105
15,282,SNP439
15,74,SNP292
15,481,SNP453
15,67,SNP504
15,438,SNP5
15,901,SNP11
15,573,SNP948
15,273,SNP946
15,356,SNP945
15,556,SNP498
15,92,SNP685
15,293,SNP495
15,20,SNP708
15,417,SNP937
15,593,SNP479
15,337,SNP790
15,729,SNP533
15,202,SNP457
15,278,SNP83
15,120,SNP494
15,698,SNP975
15,477,SNP135
15,393,SNP423
15,443,SNP226
15,777,SNP771
15,122,SNP383
15,517,SNP374
15,972,SNP396
15,30,SNP400
15,283,SNP405
15,899,SNP247
15,961,SNP506
15,830,SNP189
15,285,SNP614
15,171,SNP159
15,946,SNP163
15,556,SNP557
15,257,SNP872
16,245,SNP999
16,19,SNP765
16,864,SNP713
16,599,SNP255
16,995,SNP61
16,333,SNP930
16,794,SNP852
16,271,SNP786
16,923,SNP942
16,194,SNP306
16,647,SNP733
16,562,SNP718
16,612,SNP44
16,881,SNP938
16,983,SNP245
16,980,SNP488
16,710,SNP64
16,431,SNP46
16,42,SNP330
16,524,SNP505
16,865,SNP577
16,664,SNP168
16,22,SNP654
16,673,SNP991
16,601,SNP548
16,124,SNP415
16,850,SNP546
16,635,SNP115
16,477,SNP179
16,830,SNP218
16,249,SNP565
16,923,SNP680
16,644,SNP805
16,996,SNP645
16,856,SNP401
16,949,SNP569
16,421,SNP686
16,955,SNP390
16,98,SNP82
16,330,SNP81
16,244,SNP386
16,99,SNP158
17,713,SNP747
17,419,SNP866
17,666,SNP905
17,256,SNP904
17,606,SNP863
17,562,SNP732
17,283,SNP924
17,256,SNP951
17,279,SNP316
17,844,SNP65
17,277,SNP271
17,412,SNP72
17,934,SNP73
17,299,SNP89
17,108,SNP601
17,357,SNP94
17,120,SNP95
17,154,SNP60
17,279,SNP260
17,352,SNP582
17,594,SNP129
17,810,SNP136
17,617,SNP556
17,604,SNP352
17,628,SNP992
17,611,SNP987
17,916,SNP171
17,443,SNP107
17,954,SNP283
17,539,SNP623
17,344,SNP480
17,869,SNP343
17,113,SNP350
17,851,SNP376
17,399,SNP379
17,987,SNP678
17,58,SNP34
17,113,SNP15
17,685,SNP16
17,436,SNP13
17,127,SNP315
17,270,SNP644
17,140,SNP312
18,578,SNP824
18,707,SNP880
18,168,SNP958
18,786,SNP452
18,872,SNP988
18,674,SNP366
18,602,SNP234
18,167,SNP209
18,479,SNP235
18,621,SNP295
18,145,SNP246
18,695,SNP851
18,606,SNP256
18,171,SNP328
18,712,SNP318
18,506,SNP263
18,462,SNP412
18,705,SNP980
18,208,SNP477
18,310,SNP264
18,363,SNP723
18,782,SNP387
18,621,SNP368
18,436,SNP248
18,88,SNP520
18,327,SNP483
18,672,SNP943
18,593,SNP734
18,42,SNP696
18,339,SNP22
18,170,SNP689
18,310,SNP681
18,35,SNP941
18,607,SNP31
18,21,SNP646
18,796,SNP935
18,879,SNP926
18,334,SNP625
18,824,SNP85
18,163,SNP620
18,183,SNP637
18,510,SNP119
18,845,SNP558
18,202,SNP888
18,197,SNP486
18,170,SNP148
18,462,SNP523
18,858,SNP144
18,413,SNP911
19,136,SNP996
19,137,SNP3
19,399,SNP166
19,746,SNP892
19,960,SNP895
19,14,SNP217
19,131,SNP52
19,327,SNP840
19,218,SNP55
19,638,SNP57
19,113,SNP847
19,362,SNP931
19,377,SNP58
19,833,SNP170
19,159,SNP120
19,249,SNP227
19,862,SNP354
19,722,SNP715
19,986,SNP402
19,675,SNP793
19,368,SNP787
19,112,SNP508
19,315,SNP517
19,211,SNP521
19,239,SNP425
19,641,SNP802
19,334,SNP579
19,690,SNP768
19,761,SNP586
19,756,SNP414
19,163,SNP977
19,159,SNP622
19,435,SNP627
19,408,SNP974
19,990,SNP666
19,670,SNP705
19,196,SNP656
19,412,SNP395
19,787,SNP371
19,933,SNP361
19,852,SNP729
19,92,SNP381
20,292,SNP161
20,16,SNP507
20,38,SNP153
20,442,SNP885
20,159,SNP710
20,683,SNP18
20,274,SNP576
20,867,SNP21
20,540,SNP124
20,559,SNP180
20,251,SNP746
20,699,SNP589
20,730,SNP661
20,920,SNP592
20,244,SNP102
20,296,SNP596
20,61,SNP198
20,309,SNP607
20,457,SNP621
20,416,SNP953
20,438,SNP49
20,646,SNP966
20,681,SNP630
20,115,SNP749
20,334,SNP640
20,526,SNP745
20,628,SNP356
20,87,SNP491
20,748,SNP845
20,194,SNP810
20,482,SNP310
20,822,SNP398
20,861,SNP257
20,629,SNP424
20,523,SNP435
20,999,SNP397
20,913,SNP869
20,307,SNP436
20,521,SNP447
20,366,SNP854
20,829,SNP460
20,132,SNP385
20,860,SNP380
20,140,SNP836
20,352,SNP813
21,95,SNP84
21,548,SNP77
21,289,SNP809
21,655,SNP825
21,888,SNP850
21,360,SNP341
21,726,SNP927
21,422,SNP631
21,668,SNP968
21,412,SNP709
21,973,SNP334
21,972,SNP933
21,62,SNP846
21,87,SNP289
21,353,SNP690
21,188,SNP313
21,448,SNP28
21,468,SNP314
21,915,SNP848
21,719,SNP201
21,220,SNP595
21,348,SNP279
21,673,SNP462
21,890,SNP177
21,69,SNP210
21,46,SNP473
21,313,SNP875
21,294,SNP485
21,250,SNP889
21,365,SNP829
21,731,SNP212
21,726,SNP154
21,808,SNP442
21,7,SNP899
21,289,SNP86
21,241,SNP531
21,291,SNP806
21,640,SNP465
21,190,SNP96
21,994,SNP101
21,520,SNP913
21,431,SNP276
21,73,SNP142
21,826,SNP476
21,985,SNP909
21,630,SNP416
21,425,SNP118
21,476,SNP259
21,317,SNP261
22,452,SNP965
22,270,SNP956
22,540,SNP967
22,242,SNP963
22,14,SNP500
22,746,SNP923
22,773,SNP389
22,679,SNP382
22,597,SNP358
22,474,SNP332
22,232,SNP280
22,893,SNP231
22,391,SNP228
22,212,SNP216
22,332,SNP203
22,445,SNP410
22,603,SNP199
22,286,SNP185
22,947,SNP173
22,296,SNP151
22,785,SNP132
22,823,SNP117
22,859,SNP116
22,982,SNP111
22,840,SNP48
22,223,SNP40
22,340,SNP191
22,181,SNP411
22,991,SNP430
22,150,SNP461
22,19,SNP917
22,632,SNP908
22,233,SNP898
22,971,SNP890
22,759,SNP873
22,721,SNP831
22,512,SNP830
22,175,SNP815
22,784,SNP774
22,578,SNP773
22,855,SNP763
22,101,SNP752
22,949,SNP744
22,253,SNP714
22,26,SNP638
22,472,SNP634
22,82,SNP618
22,298,SNP605
22,510,SNP514
22,813,SNP502
22,433,SNP467
22,669,SNP929
22,131,SNP1000
